run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,vix_ema_period,ema_period_calm,atr_stop_calm,ema_period_choppy,atr_stop_choppy,risk_bull,allocation_defense,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,vix_symbol
001,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.0,0.05,0.6,12,26,9,14,VIX
002,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.0,0.06,0.6,12,26,9,14,VIX
003,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.5,0.05,0.6,12,26,9,14,VIX
004,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.5,0.06,0.6,12,26,9,14,VIX
005,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,1.0,0.05,0.6,12,26,9,14,VIX
006,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,1.0,0.06,0.6,12,26,9,14,VIX
007,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.0,0.05,0.6,12,26,9,14,VIX
008,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.0,0.06,0.6,12,26,9,14,VIX
009,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.5,0.05,0.6,12,26,9,14,VIX
010,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.5,0.06,0.6,12,26,9,14,VIX
011,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,1.0,0.05,0.6,12,26,9,14,VIX
012,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,1.0,0.06,0.6,12,26,9,14,VIX
013,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.0,0.05,0.6,12,26,9,14,VIX
014,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.0,0.06,0.6,12,26,9,14,VIX
015,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.5,0.05,0.6,12,26,9,14,VIX
016,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.5,0.06,0.6,12,26,9,14,VIX
017,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,1.0,0.05,0.6,12,26,9,14,VIX
018,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,1.0,0.06,0.6,12,26,9,14,VIX
019,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.0,0.05,0.6,12,26,9,14,VIX
020,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.0,0.06,0.6,12,26,9,14,VIX
021,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.5,0.05,0.6,12,26,9,14,VIX
022,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.5,0.06,0.6,12,26,9,14,VIX
023,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,1.0,0.05,0.6,12,26,9,14,VIX
024,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,1.0,0.06,0.6,12,26,9,14,VIX
025,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.0,0.05,0.6,12,26,9,14,VIX
026,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.0,0.06,0.6,12,26,9,14,VIX
027,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.5,0.05,0.6,12,26,9,14,VIX
028,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.5,0.06,0.6,12,26,9,14,VIX
029,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,1.0,0.05,0.6,12,26,9,14,VIX
030,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,1.0,0.06,0.6,12,26,9,14,VIX
031,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.0,0.05,0.6,12,26,9,14,VIX
032,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.0,0.06,0.6,12,26,9,14,VIX
033,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.5,0.05,0.6,12,26,9,14,VIX
034,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.5,0.06,0.6,12,26,9,14,VIX
035,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,1.0,0.05,0.6,12,26,9,14,VIX
036,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,1.0,0.06,0.6,12,26,9,14,VIX
037,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.0,0.05,0.6,12,26,9,14,VIX
038,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.0,0.06,0.6,12,26,9,14,VIX
039,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.5,0.05,0.6,12,26,9,14,VIX
040,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.5,0.06,0.6,12,26,9,14,VIX
041,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,1.0,0.05,0.6,12,26,9,14,VIX
042,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,1.0,0.06,0.6,12,26,9,14,VIX
043,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.0,0.05,0.6,12,26,9,14,VIX
044,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.0,0.06,0.6,12,26,9,14,VIX
045,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.5,0.05,0.6,12,26,9,14,VIX
046,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.5,0.06,0.6,12,26,9,14,VIX
047,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,1.0,0.05,0.6,12,26,9,14,VIX
048,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,1.0,0.06,0.6,12,26,9,14,VIX
049,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.0,0.05,0.6,12,26,9,14,VIX
050,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.0,0.06,0.6,12,26,9,14,VIX
051,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.5,0.05,0.6,12,26,9,14,VIX
052,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.5,0.06,0.6,12,26,9,14,VIX
053,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,1.0,0.05,0.6,12,26,9,14,VIX
054,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,1.0,0.06,0.6,12,26,9,14,VIX
055,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.0,0.05,0.6,12,26,9,14,VIX
056,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.0,0.06,0.6,12,26,9,14,VIX
057,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.5,0.05,0.6,12,26,9,14,VIX
058,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.5,0.06,0.6,12,26,9,14,VIX
059,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,1.0,0.05,0.6,12,26,9,14,VIX
060,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,1.0,0.06,0.6,12,26,9,14,VIX
061,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.0,0.05,0.6,12,26,9,14,VIX
062,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.0,0.06,0.6,12,26,9,14,VIX
063,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.5,0.05,0.6,12,26,9,14,VIX
064,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.5,0.06,0.6,12,26,9,14,VIX
065,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,1.0,0.05,0.6,12,26,9,14,VIX
066,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,1.0,0.06,0.6,12,26,9,14,VIX
067,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.0,0.05,0.6,12,26,9,14,VIX
068,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.0,0.06,0.6,12,26,9,14,VIX
069,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.5,0.05,0.6,12,26,9,14,VIX
070,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.5,0.06,0.6,12,26,9,14,VIX
071,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,1.0,0.05,0.6,12,26,9,14,VIX
072,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,1.0,0.06,0.6,12,26,9,14,VIX
073,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.05,0.6,12,26,9,14,VIX
074,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.06,0.6,12,26,9,14,VIX
075,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.05,0.6,12,26,9,14,VIX
076,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.06,0.6,12,26,9,14,VIX
077,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.05,0.6,12,26,9,14,VIX
078,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.06,0.6,12,26,9,14,VIX
079,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.0,0.05,0.6,12,26,9,14,VIX
080,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.0,0.06,0.6,12,26,9,14,VIX
081,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.5,0.05,0.6,12,26,9,14,VIX
082,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.5,0.06,0.6,12,26,9,14,VIX
083,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,1.0,0.05,0.6,12,26,9,14,VIX
084,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,1.0,0.06,0.6,12,26,9,14,VIX
085,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.0,0.05,0.6,12,26,9,14,VIX
086,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.0,0.06,0.6,12,26,9,14,VIX
087,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.5,0.05,0.6,12,26,9,14,VIX
088,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.5,0.06,0.6,12,26,9,14,VIX
089,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,1.0,0.05,0.6,12,26,9,14,VIX
090,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,1.0,0.06,0.6,12,26,9,14,VIX
091,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.0,0.05,0.6,12,26,9,14,VIX
092,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.0,0.06,0.6,12,26,9,14,VIX
093,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.5,0.05,0.6,12,26,9,14,VIX
094,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.5,0.06,0.6,12,26,9,14,VIX
095,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,1.0,0.05,0.6,12,26,9,14,VIX
096,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,1.0,0.06,0.6,12,26,9,14,VIX
097,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.0,0.05,0.6,12,26,9,14,VIX
098,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.0,0.06,0.6,12,26,9,14,VIX
099,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.5,0.05,0.6,12,26,9,14,VIX
100,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.5,0.06,0.6,12,26,9,14,VIX
101,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,1.0,0.05,0.6,12,26,9,14,VIX
102,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,1.0,0.06,0.6,12,26,9,14,VIX
103,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.0,0.05,0.6,12,26,9,14,VIX
104,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.0,0.06,0.6,12,26,9,14,VIX
105,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.5,0.05,0.6,12,26,9,14,VIX
106,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.5,0.06,0.6,12,26,9,14,VIX
107,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,1.0,0.05,0.6,12,26,9,14,VIX
108,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,1.0,0.06,0.6,12,26,9,14,VIX
109,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.0,0.05,0.6,12,26,9,14,VIX
110,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.0,0.06,0.6,12,26,9,14,VIX
111,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.5,0.05,0.6,12,26,9,14,VIX
112,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.5,0.06,0.6,12,26,9,14,VIX
113,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,1.0,0.05,0.6,12,26,9,14,VIX
114,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,1.0,0.06,0.6,12,26,9,14,VIX
115,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.0,0.05,0.6,12,26,9,14,VIX
116,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.0,0.06,0.6,12,26,9,14,VIX
117,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.5,0.05,0.6,12,26,9,14,VIX
118,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.5,0.06,0.6,12,26,9,14,VIX
119,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,1.0,0.05,0.6,12,26,9,14,VIX
120,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,1.0,0.06,0.6,12,26,9,14,VIX
121,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.0,0.05,0.6,12,26,9,14,VIX
122,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.0,0.06,0.6,12,26,9,14,VIX
123,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.5,0.05,0.6,12,26,9,14,VIX
124,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.5,0.06,0.6,12,26,9,14,VIX
125,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,1.0,0.05,0.6,12,26,9,14,VIX
126,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,1.0,0.06,0.6,12,26,9,14,VIX
127,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.0,0.05,0.6,12,26,9,14,VIX
128,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.0,0.06,0.6,12,26,9,14,VIX
129,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.5,0.05,0.6,12,26,9,14,VIX
130,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.5,0.06,0.6,12,26,9,14,VIX
131,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,1.0,0.05,0.6,12,26,9,14,VIX
132,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,1.0,0.06,0.6,12,26,9,14,VIX
133,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.0,0.05,0.6,12,26,9,14,VIX
134,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.0,0.06,0.6,12,26,9,14,VIX
135,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.5,0.05,0.6,12,26,9,14,VIX
136,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.5,0.06,0.6,12,26,9,14,VIX
137,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,1.0,0.05,0.6,12,26,9,14,VIX
138,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,1.0,0.06,0.6,12,26,9,14,VIX
139,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,100,2.0,0.05,0.6,12,26,9,14,VIX
140,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,100,2.0,0.06,0.6,12,26,9,14,VIX
141,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,100,2.5,0.05,0.6,12,26,9,14,VIX
142,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,100,2.5,0.06,0.6,12,26,9,14,VIX
143,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,100,1.0,0.05,0.6,12,26,9,14,VIX
144,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,100,1.0,0.06,0.6,12,26,9,14,VIX
145,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,50,2.0,0.05,0.6,12,26,9,14,VIX
146,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,50,2.0,0.06,0.6,12,26,9,14,VIX
147,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,50,2.5,0.05,0.6,12,26,9,14,VIX
148,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,50,2.5,0.06,0.6,12,26,9,14,VIX
149,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,50,1.0,0.05,0.6,12,26,9,14,VIX
150,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,50,1.0,0.06,0.6,12,26,9,14,VIX
151,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,75,2.0,0.05,0.6,12,26,9,14,VIX
152,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,75,2.0,0.06,0.6,12,26,9,14,VIX
153,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,75,2.5,0.05,0.6,12,26,9,14,VIX
154,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,75,2.5,0.06,0.6,12,26,9,14,VIX
155,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,75,1.0,0.05,0.6,12,26,9,14,VIX
156,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,75,1.0,0.06,0.6,12,26,9,14,VIX
157,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,100,2.0,0.05,0.6,12,26,9,14,VIX
158,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,100,2.0,0.06,0.6,12,26,9,14,VIX
159,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,100,2.5,0.05,0.6,12,26,9,14,VIX
160,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,1.0,100,2.5,0.06,0.6,12,26,9,14,VIX
