Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
242,QQQ_TQQQ_VIX,2615384.61,260.538,0.43,-0.117,3.94,1.73,3.69,325,0.0,0.305,6838.83,-1073676.43,0.02,12,26,9,14,0.6,20,100,1.0,100,1.0
243,QQQ_TQQQ_VIX,4975500.22,496.550,0.49,-0.132,3.96,1.67,3.71,320,0.0,0.312,10931.82,-1969091.88,0.025,12,26,9,14,0.6,20,100,1.0,100,1.0
244,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,50,2.0
245,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,50,2.0
246,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,50,2.0
247,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,50,2.5
248,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,50,2.5
249,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,50,2.5
250,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,50,1.0
251,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,50,1.0
252,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,50,1.0
253,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,75,2.0
254,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,75,2.0
255,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,75,2.0
256,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,75,2.5
257,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,75,2.5
258,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,75,2.5
259,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,75,1.0
260,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,75,1.0
261,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,75,1.0
262,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,100,2.0
263,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,100,2.0
264,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,100,2.0
265,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,100,2.5
266,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,100,2.5
267,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,100,2.5
268,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,50,25,2.5,100,1.0
269,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,50,25,2.5,100,1.0
270,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,50,25,2.5,100,1.0
271,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,50,2.0
272,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,50,2.0
273,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,50,2.0
274,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,50,2.5
275,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,50,2.5
276,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,50,2.5
277,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,50,1.0
278,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,50,1.0
279,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,50,1.0
280,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,75,2.0
281,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,75,2.0
282,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,75,2.0
283,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,75,2.5
284,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,75,2.5
285,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,75,2.5
286,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,75,1.0
287,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,75,1.0
288,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,75,1.0
289,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,100,2.0
290,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,100,2.0
291,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,100,2.0
292,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,100,2.5
293,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,100,2.5
294,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,100,2.5
295,QQQ_TQQQ_VIX,122317.31,11.232,0.174,-0.08,3.17,1.48,2.19,428,0.0,0.241,466.44,-59311.11,0.015,12,26,9,14,0.6,50,25,2.0,100,1.0
296,QQQ_TQQQ_VIX,281302.15,27.130,0.239,-0.081,3.72,1.74,2.94,428,0.0,0.241,871.18,-113851.78,0.02,12,26,9,14,0.6,50,25,2.0,100,1.0
297,QQQ_TQQQ_VIX,641181.56,63.118,0.306,-0.083,4.11,1.91,3.7,428,0.0,0.241,1667.66,-219087.43,0.025,12,26,9,14,0.6,50,25,2.0,100,1.0
298,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,50,2.0
299,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,50,2.0
300,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,50,2.0
301,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,50,2.5
302,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,50,2.5
303,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,50,2.5
304,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,50,1.0
305,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,50,1.0
306,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,50,1.0
307,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,75,2.0
308,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,75,2.0
309,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,75,2.0
310,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,75,2.5
311,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,75,2.5
312,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,75,2.5
313,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,75,1.0
314,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,75,1.0
315,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,75,1.0
316,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,100,2.0
317,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,100,2.0
318,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,100,2.0
319,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,100,2.5
320,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,100,2.5
321,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,100,2.5
322,QQQ_TQQQ_VIX,1410438.03,140.044,0.374,-0.119,4.11,1.74,3.14,421,0.0,0.242,3145.67,-437045.01,0.015,12,26,9,14,0.6,50,25,1.0,100,1.0
323,QQQ_TQQQ_VIX,5574869.41,556.487,0.501,-0.114,4.61,1.92,4.4,422,0.0,0.242,9744.75,-1404037.19,0.02,12,26,9,14,0.6,50,25,1.0,100,1.0
324,QQQ_TQQQ_VIX,-1994787.24,-200.479,,-1.0,,0.25,,195,0.0,0.226,411.81,-639903.79,0.025,12,26,9,14,0.6,50,25,1.0,100,1.0
325,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,50,2.0
326,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,50,2.0
327,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,50,2.0
328,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,50,2.5
329,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,50,2.5
330,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,50,2.5
331,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,50,1.0
332,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,50,1.0
333,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,50,1.0
334,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,75,2.0
335,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,75,2.0
336,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,75,2.0
337,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,75,2.5
338,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,75,2.5
339,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,75,2.5
340,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,75,1.0
341,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,75,1.0
342,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,75,1.0
343,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,100,2.0
344,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,100,2.0
345,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,100,2.0
346,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,100,2.5
347,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,100,2.5
348,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,100,2.5
349,QQQ_TQQQ_VIX,55716.39,4.572,0.117,-0.091,1.92,0.88,1.29,343,0.0,0.283,328.97,-39280.9,0.015,12,26,9,14,0.6,50,75,2.5,100,1.0
350,QQQ_TQQQ_VIX,99059.81,8.906,0.159,-0.097,2.46,1.12,1.64,343,0.0,0.283,495.68,-63931.12,0.02,12,26,9,14,0.6,50,75,2.5,100,1.0
351,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.025,12,26,9,14,0.6,50,75,2.5,100,1.0
352,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,50,2.0
353,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,50,2.0
354,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,50,2.0
355,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,50,2.5
356,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,50,2.5
357,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,50,2.5
358,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,50,1.0
359,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,50,1.0
360,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,50,1.0
361,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,75,2.0
362,QQQ_TQQQ_VIX,174991.22,16.499,0.202,-0.102,2.87,1.31,1.97,343,0.0,0.283,759.69,-100563.19,0.02,12,26,9,14,0.6,50,75,2.0,75,2.0
363,QQQ_TQQQ_VIX,354107.39,34.411,0.257,-0.109,3.28,1.48,2.37,343,0.0,0.283,1320.65,-175728.88,0.025,12,26,9,14,0.6,50,75,2.0,75,2.0
364,QQQ_TQQQ_VIX,85751.96,7.575,0.148,-0.095,2.33,1.06,1.55,343,0.0,0.283,446.21,-56857.84,0.015,12,26,9,14,0.6,50,75,2.0,75,2.5
